Date,Mean Absolute Error,Median Absolute Error,Mean Squared Error,Median Squared Error,R2Score
06.01.2015 00:10:00,0.10911852866411209,0.11474359035491943,0.028088007122278214,0.015975113969446397,0.9894722794684467
13.01.2015 00:10:00,0.13447481393814087,0.6343293190002441,0.1388881504535675,0.5501186320202578,0.9841047508637429
20.01.2015 00:10:00,0.07128233462572098,0.007552340626716614,0.010599683970212936,0.00010596922822125876,0.9796357237158853
27.01.2015 00:10:00,0.07778588682413101,0.017464399337768555,0.014415193349123001,0.00038447303160182855,0.977467102055993
03.02.2015 00:10:00,0.09696558117866516,0.01562759280204773,0.027033239603042603,0.00048569207073434484,0.9858291458758925
10.02.2015 00:10:00,0.07793620973825455,0.008051395416259766,0.03200499340891838,9.657576674726442e-05,0.9874275028919273
17.02.2015 00:10:00,0.11496865749359131,0.03587377071380615,0.0399458222091198,0.0012887872509423914,0.9900608282248996
24.02.2015 00:10:00,0.18043774366378784,0.2213640809059143,0.06562431156635284,0.07223765108737012,0.9895318883590191
03.03.2015 00:10:00,0.13511957228183746,0.018879294395446777,0.05550533905625343,0.0006634140301287061,0.9891737646173134
10.03.2015 00:10:00,0.12310853600502014,0.02868366241455078,0.033389292657375336,0.0009748297907208325,0.996985290244248
17.03.2015 00:10:00,0.22010207176208496,0.045076608657836914,0.18666039407253265,0.0022157887175353608,0.9910772056549186
24.03.2015 00:10:00,0.27114763855934143,0.062280893325805664,0.19992166757583618,0.005212150246393321,0.9939124545685611
31.03.2015 00:10:00,0.2665782570838928,0.029956698417663574,0.2501577138900757,0.0009037901041040186,0.977359825068277
07.04.2015 00:10:00,0.14187897741794586,0.06489324569702148,0.05814113840460777,0.005156360852424768,0.9963470145606935
14.04.2015 00:10:00,1.637535572052002,0.35127830505371094,7.834664344787598,0.13513633344700793,0.8328626178231965
21.04.2015 00:10:00,0.747938334941864,0.13219642639160156,2.3476967811584473,0.02132986914148205,0.9155569166836313
28.04.2015 00:10:00,0.17919087409973145,0.37460994720458984,0.11061219125986099,0.1594813870269718,0.9937947192025053
05.05.2015 00:10:00,2.2852420806884766,0.2632026672363281,12.131142616271973,0.06958025800940959,0.15090709875347252
12.05.2015 00:10:00,2.537764072418213,0.052071571350097656,20.65481185913086,0.004164458096965973,0.2048477312970196
19.05.2015 00:10:00,0.528773307800293,0.12012481689453125,1.4359225034713745,0.01959510991582647,0.8445333300111451
26.05.2015 00:10:00,0.20210450887680054,0.036026954650878906,0.3883107900619507,0.0013971465386930504,0.8371069245951492
02.06.2015 00:10:00,3.3726892471313477,3.090151786804199,20.347129821777344,9.574645036178481,-0.017853025138589107
09.06.2015 00:10:00,0.6626678705215454,0.053815364837646484,2.088430881500244,0.003344672170442209,0.7280129793214656
16.06.2015 00:10:00,0.8163729906082153,0.14503240585327148,2.480156183242798,0.024100641929635458,0.8270987976084345
23.06.2015 00:10:00,0.33188140392303467,0.1816115379333496,0.5814474821090698,0.035532944074020634,0.9020663962605892
30.06.2015 00:10:00,5.627588748931885,0.5244932174682617,47.370018005371094,0.2862992212994868,-1.4257527303239694
07.07.2015 00:10:00,5.286126613616943,2.780503273010254,57.94422149658203,7.731843570991259,-0.74381719875322
14.07.2015 00:10:00,3.683232307434082,2.4227771759033203,20.55765151977539,5.8754141522877035,-1.8008456388851473
21.07.2015 00:10:00,8.95395565032959,5.812922477722168,100.93173217773438,33.790067732408716,-3.863111416135311
28.07.2015 00:10:00,1.0242784023284912,0.044315338134765625,3.0380711555480957,0.001983388073313108,0.3587217504615332
04.08.2015 00:10:00,6.075671195983887,3.341404914855957,60.03913116455078,11.165371672295805,-1.5715245969926923
11.08.2015 00:10:00,7.774962425231934,5.493329048156738,72.24979400634766,30.180248534425118,-5.731756808889156
18.08.2015 00:10:00,0.4696025252342224,0.04197835922241211,1.1947975158691406,0.00208594689183883,0.309817456437145
25.08.2015 00:10:00,2.5599467754364014,0.07524728775024414,17.277189254760742,0.005806557152482128,0.05192614339104962
01.09.2015 00:10:00,2.9664149284362793,0.03699350357055664,23.1472225189209,0.001389530855249177,-0.15431123664135415
08.09.2015 00:10:00,0.34401172399520874,0.15514039993286133,0.43478524684906006,0.0433096753135942,0.9533944327038935
15.09.2015 00:10:00,1.378854751586914,0.07944583892822266,4.256648540496826,0.007317870466977183,0.6637202973018494
22.09.2015 00:10:00,0.19450172781944275,0.023926734924316406,0.349738746881485,0.0006105844522608095,0.900923617712432
29.09.2015 00:10:00,0.1782342940568924,0.11939048767089844,0.17213837802410126,0.014255731399316574,0.9793892446868767
06.10.2015 00:10:00,0.38759830594062805,0.039704322814941406,0.6784798502922058,0.001730848079205316,0.857729053180644
13.10.2015 00:10:00,0.05402899906039238,0.09492647647857666,0.008553151972591877,0.009459912592006958,0.9923388379499862
20.10.2015 00:10:00,0.08365939557552338,0.06358146667480469,0.09996788203716278,0.004082871433638502,0.906092979881449
27.10.2015 00:10:00,0.14871986210346222,0.04324221611022949,0.1473943591117859,0.0018744049845054178,0.9908328106662381
03.11.2015 00:10:00,0.22660790383815765,0.27135545015335083,0.09134082496166229,0.09522887304232341,0.9971272781998916
10.11.2015 00:10:00,0.2742055356502533,0.029228687286376953,0.8927023410797119,0.0013898398196943162,0.7477186611633335
17.11.2015 00:10:00,0.1501961499452591,0.058266639709472656,0.3010631799697876,0.003715769534210267,0.8901664879081655
24.11.2015 00:10:00,0.08515223860740662,0.047919511795043945,0.044759128242731094,0.002455877465607159,0.9899197339904668
